id,latitude,longitude,year,month,day,minute,weekday
5977707dcb17471ac05651d4,-23.5618324,-46.722231,2017,7,25,11,1
5977707dcb17471ac05651d6,-23.5600167,-46.723715,2017,7,25,11,1
5977707dcb17471ac05651d9,-23.5601608,-46.7225709,2017,7,25,11,1
5977707dcb17471ac05651dc,-23.5600033,-46.7240233,2017,7,25,12,1
5977707dcb17471ac05651de,-23.5603746,-46.7229727,2017,7,25,12,1
5977707dcb17471ac05651e0,-23.5599717,-46.724275,2017,7,25,13,1
5977707dcb17471ac05651e2,-23.5599717,-46.724275,2017,7,25,13,1
5977707dcb17471ac05651e4,-23.55998,-46.724405,2017,7,25,14,1
5977707dcb17471ac05651e6,-23.5600017,-46.724725,2017,7,25,14,1
5977707dcb17471ac05651e8,-23.5594545,-46.7219024,2017,7,25,15,1
5977707dcb17471ac05651ea,-23.5599067,-46.72537,2017,7,25,15,1
5977707dcb17471ac05651ec,-23.5599333,-46.725745,2017,7,25,16,1
5977707dcb17471ac05651ee,-23.5599017,-46.7260333,2017,7,25,16,1
5977707dcb17471ac05651f0,-23.559643,-46.7263094,2017,7,25,17,1
5977707dcb17471ac05651f2,-23.559395,-46.7265,2017,7,25,17,1
5977707dcb17471ac05651f4,-23.5591583,-46.7266367,2017,7,25,18,1
5977707dcb17471ac05651f6,-23.55914,-46.7267,2017,7,25,18,1
5977707dcb17471ac05651f8,-23.558945,-46.7269417,2017,7,25,19,1
5977707dcb17471ac05651fa,-23.55879,-46.7271783,2017,7,25,19,1
5977707dcb17471ac05651fc,-23.5586383,-46.727178,2017,7,25,20,1
5977707dcb17471ac05651ff,-23.5582083,-46.7276067,2017,7,25,20,1
5977707dcb17471ac0565202,-23.55791,-46.7278917,2017,7,25,21,1
5977707dcb17471ac0565205,-23.5577017,-46.72818,2017,7,25,21,1
5977707dcb17471ac0565208,-23.5576417,-46.728465,2017,7,25,22,1
5977707ecb17471ac0565210,-23.5575933,-46.728675,2017,7,25,22,1
5977707ecb17471ac0565212,-23.5573833,-46.72865,2017,7,25,23,1
